Name,Population,Region,Area,GDP
Artsakh,"148,900",Middle East,N/A,N/A
Christmas Island(Australia),"1,692",Oceania,N/A,N/A
Norfolk Island(Australia),"2,188",Oceania,N/A,N/A
Northern Cyprus,"382,836",Middle East,N/A,N/A
Puerto Rico(US),"3,221,789",Carribean,N/A,N/A
Saint Pierre and Miquelon(France),"6,092",North America,N/A,N/A
South Ossetia,"56,520",Europe,N/A,N/A
Western Sahara,"587,259",North Africa,N/A,N/A
Abkhazia,"244,236",Europe,"8,665",N/A
Afghanistan,"34,262,840",South Asia,"652,230"," $19,101,353,833 "
Aland,"30,569",Europe,"1,583",N/A
Albania,"2,761,785",Europe,"28,748"," $15,278,077,447 "
Algeria,"45,400,000",North Africa,"2,381,741"," $169,988,236,398 "
American Samoa,"49,710",Oceania,199," $636,000,000 "
Andorra,"83,523",Europe,468," $3,154,057,987 "
Angola,"33,086,278",Sub-Saharan Africa,"1,246,700"," $94,635,415,870 "
Anguilla,"15,701",Carribean,91," $108,900,000 "
Antigua and Barbuda,"100,772",Carribean,440," $1,727,759,259 "
Argentina,"46,654,581",South America,"2,780,400"," $449,663,446,954 "
Armenia,"2,981,200",Middle East,"29,743"," $13,672,802,158 "
Aruba,"106,739",Carribean,179," $2,700,558,659 "
Australia,"26,825,500",Oceania,"7,692,024"," $1,392,680,589,329 "
Austria,"9,129,652",Europe,"83,879"," $446,314,739,528 "
Azerbaijan,"10,151,517",Middle East,"86,600"," $39,207,000,000 "
Bahrain,"1,577,059",Middle East,785," $38,574,069,149 "
Bangladesh,"169,828,911",South Asia,"147,570"," $302,571,254,131 "
Barbados,"267,800",Carribean,439," $5,209,000,000 "
Belarus,"9,200,617",Europe,"207,595"," $63,080,457,023 "
Belgium,"11,772,639",Europe,"30,688"," $529,606,710,418 "
Belize,"441,471",North America,"22,966"," $1,879,613,600 "
Benin,"12,606,998",Sub-Saharan Africa,"114,763"," $14,390,709,095 "
Bermuda,"64,055",North America,53," $5,573,710,000 "
Bhutan,"770,276",South Asia,"38,394"," $2,446,674,101 "
Bolivia,"12,006,031",South America,"1,098,581"," $40,895,322,865 "
Bosnia and Herzegovina,"3,277,082",Europe,"51,197"," $20,047,848,435 "
Botswana,"2,410,338",Sub-Saharan Africa,"581,737"," $18,340,510,789 "
Brazil,"203,062,512",South America,"8,515,767"," $1,839,758,040,766 "
British Virgin Islands,"31,538",Carribean,151," $839,700,000 "
Brunei,"445,400",South Asia,"5,765"," $13,469,422,941 "
Bulgaria,"6,447,710",Europe,"110,994"," $86,000,000,000 "
Burkina Faso,"22,185,654",Sub-Saharan Africa,"274,200"," $15,745,810,235 "
Burundi,"12,837,740",Sub-Saharan Africa,"27,834"," $3,012,334,882 "
Cambodia,"17,091,464",South Asia,"181,035"," $27,089,389,787 "
Cameroon,"28,088,845",Sub-Saharan Africa,"475,442"," $38,760,467,033 "
Canada,"40,478,400",North America,"9,984,670"," $1,736,425,629,520 "
Cape Verde,"491,233",Sub-Saharan Africa,"4,033"," $1,981,845,741 "
Cayman Islands,"71,105",Carribean,264," $5,485,419,417 "
Central African Republic,"5,633,412",Sub-Saharan Africa,"622,984"," $2,220,307,369 "
Chad,"17,414,717",Sub-Saharan Africa,"1,284,000"," $11,314,951,343 "
Chile,"19,960,889",South America,"756,102"," $282,318,159,745 "
China,"1,411,750,000",East Asia,"9,596,961"," $19,910,000,000,000 "
Cocos (Keeling) Islands,593,Oceania,14," $11,012,550 "
Collectivity of Saint Martin,"32,358",Carribean,53," $771,900,000 "
Colombia,"52,215,503",South America,"1,141,748"," $323,802,808,108 "
Comoros,"758,316",Sub-Saharan Africa,"2,034"," $1,185,728,677 "
Cook Islands,"15,040",Oceania,240," $183,000,000 "
Costa Rica,"5,262,225",North America,"51,100"," $61,773,944,174 "
Croatia,"3,855,641",Europe,"56,594"," $60,415,553,039 "
Cuba,"11,089,511",Carribean,"109,884"," $100,023,000,000 "
Curacao,"148,925",Carribean,444," $3,127,908,038 "
Cyprus,"918,100",Middle East,"9,242"," $24,564,647,935 "
Czech Republic,"10,873,553",Europe,"78,866"," $246,489,245,495 "
Democratic Republic of the Congo,"95,370,000",Sub-Saharan Africa,"2,344,858"," $47,319,624,204 "
Denmark,"5,944,145",Europe,"42,925"," $348,078,018,464 "
Djibouti,"1,001,454",Sub-Saharan Africa,"23,200"," $3,318,716,359 "
Dominica,"67,408",Carribean,751," $596,033,333 "
Dominican Republic,"10,760,028",Carribean,"48,671"," $88,941,298,258 "
East Timor,"1,354,662",South Asia,"14,919"," $1,673,540,300 "
Ecuador,"16,938,986",South America,"255,587"," $107,435,665,000 "
Egypt,"105,486,000",Middle East,"1,010,408"," $303,175,127,598 "
El Salvador,"6,884,888",North America,"20,742"," $27,022,640,000 "
Equatorial Guinea,"1,558,160",Sub-Saharan Africa,"28,051"," $11,026,774,945 "
Eritrea,"3,748,902",Sub-Saharan Africa,"117,600"," $2,065,001,626 "
Estonia,"1,365,884",Europe,"45,339"," $31,386,949,981 "
Eswatini,"1,223,362",Sub-Saharan Africa,"17,364"," $3,791,304,348 "
Ethiopia,"107,334,000",Sub-Saharan Africa,"1,104,300"," $96,107,662,398 "
Falkland Islands,"3,662",South America,"12,200",N/A
Faroe Islands,"54,738",Europe,"1,399"," $2,198,138,372 "
Federated States of Micronesia,"105,754",Oceania,702," $401,932,279 "
Fiji,"893,468",Oceania,"18,274"," $5,535,548,972 "
Finland,"5,557,272",Europe,"338,145"," $268,761,201,365 "
France,"68,184,000",Europe,"643,801"," $2,715,518,274,227 "
French Polynesia,"279,890",Oceania,"4,167"," $3,447,543,138 "
Gabon,"2,233,272",Sub-Saharan Africa,"267,667"," $16,657,960,228 "
Georgia,"3,736,400",Europe,"69,700"," $17,743,195,770 "
Germany,"84,482,267",Europe,"357,588"," $3,845,630,030,824 "
Ghana,"30,832,019",Sub-Saharan Africa,"238,535"," $66,983,634,224 "
Gibraltar,"34,003",Europe,7," $1,066,000,000 "
Greece,"10,482,487",Europe,"131,957"," $209,852,761,469 "
Greenland,"56,865",North America,"2,166,086"," $3,051,626,390 "
Grenada,"112,579",Carribean,349," $1,228,170,370 "
Guam,"153,836",East Asia,544," $5,920,000,000 "
Guatemala,"17,602,431",North America,"108,889"," $76,710,385,880 "
Guernsey,"64,234",Europe,63," $2,742,000,000 "
Guinea,"13,261,638",Sub-Saharan Africa,"245,857"," $13,590,281,809 "
Guinea-Bissau,"1,781,308",Sub-Saharan Africa,"36,125"," $1,340,389,411 "
Guyana,"743,699",South America,"214,970"," $4,280,443,645 "
Haiti,"11,743,017",Carribean,"27,750"," $8,498,981,821 "
Honduras,"9,745,149",North America,"112,492"," $25,095,395,475 "
Hong Kong,"7,498,100",East Asia,"2,755"," $366,029,556,273 "
Hungary,"9,597,085",Europe,"93,011"," $160,967,157,504 "
Iceland,"396,960",Europe,"103,004"," $24,188,035,739 "
India,"1,392,329,000",South Asia,"3,287,263"," $2,611,000,000,000 "
Indonesia,"279,118,866",South Asia,"1,904,570"," $1,119,190,780,753 "
Iran,"85,340,000",Middle East,"1,648,195"," $445,345,282,123 "
Iraq,"43,324,000",Middle East,"437,072"," $234,094,042,939 "
Isle of Man,"84,069",Europe,572," $6,770,532,819 "
Israel,"9,802,400",Middle East,"20,770"," $395,098,666,122 "
Italy,"58,780,965",Europe,"302,068"," $2,001,244,392,042 "
Ivory Coast,"29,389,150",Sub-Saharan Africa,"322,463"," $58,792,205,642 "
Jamaica,"2,825,544",Carribean,"10,992"," $16,458,071,068 "
Japan,"124,340,000",East Asia,"377,972"," $5,081,769,542,380 "
Jersey,"103,267",Europe,118," $5,100,000,000 "
Jordan,"11,497,000",Middle East,"89,341"," $43,743,661,972 "
Kazakhstan,"19,944,726",Central Asia,"2,724,900"," $180,161,741,180 "
Kenya,"51,526,000",Sub-Saharan Africa,"581,309"," $95,503,088,538 "
Kiribati,"120,740",Oceania,811," $194,647,202 "
Kosovo,"1,773,971",Europe,"10,909"," $6,959,638,874 "
Kuwait,"4,670,713",Middle East,"17,818"," $134,761,198,946 "
Kyrgyzstan,"7,100,000",Central Asia,"199,951"," $8,454,619,608 "
Laos,"7,443,000",South Asia,"236,800"," $18,173,839,128 "
Latvia,"1,882,000",Europe,"64,594"," $34,117,202,555 "
Lebanon,"5,490,000",Middle East,"10,452"," $53,367,042,272 "
Lesotho,"2,306,000",Sub-Saharan Africa,"30,355"," $2,460,072,444 "
Liberia,"5,248,621",Sub-Saharan Africa,"111,369"," $3,070,518,100 "
Libya,"6,931,061",North Africa,"1,759,541"," $52,076,250,948 "
Liechtenstein,"39,680",Europe,160," $6,552,858,739 "
Lithuania,"2,866,965",Europe,"65,300"," $54,219,315,600 "
Luxembourg,"660,809",Europe,"2,586"," $71,104,919,108 "
Macau,"678,800",East Asia,115," $53,859,116,536 "
Madagascar,"26,923,353",Sub-Saharan Africa,"587,295"," $14,083,906,357 "
Malawi,"21,507,723",Sub-Saharan Africa,"118,484"," $7,666,704,427 "
Malaysia,"33,379,500",South Asia,"330,803"," $364,701,517,788 "
Maldives,"382,751",South Asia,298," $5,729,248,472 "
Mali,"22,395,489",Sub-Saharan Africa,"1,240,192"," $17,510,141,171 "
Malta,"519,562",Europe,316," $14,786,156,563 "
Marshall Islands,"42,418",Oceania,181," $221,278,000 "
Mauritania,"4,475,683",North Africa,"1,030,700"," $7,593,752,450 "
Mauritius,"1,261,041",South Asia,"2,040"," $14,180,444,557 "
Mexico,"129,202,482",North America,"1,972,550"," $1,258,286,717,125 "
Moldova,"2,512,758",Europe,"33,844"," $11,955,435,457 "
Monaco,"39,050",Europe,2," $7,184,844,193 "
Mongolia,"3,457,548",East Asia,"1,564,116"," $13,852,850,259 "
Montenegro,"616,695",Europe,"13,812"," $5,494,736,901 "
Montserrat,"4,433",Carribean,102," $181,680,000 "
Morocco,"37,136,400",North Africa,"446,550"," $118,725,279,596 "
Mozambique,"32,419,747",Sub-Saharan Africa,"801,590"," $14,934,159,926 "
Myanmar,"55,770,232",South Asia,"676,577"," $76,085,852,617 "
Namibia,"2,641,857",Sub-Saharan Africa,"825,615"," $12,366,527,719 "
Nauru,"11,832",Oceania,21," $133,000,000 "
Nepal,"29,164,578",South Asia,"147,181"," $30,641,380,604 "
Netherlands,"17,949,700",Europe,"41,543"," $909,070,395,161 "
New Caledonia,"268,510",Oceania,"18,576"," $2,682,347,064 "
New Zealand,"5,223,100",Oceania,"268,021"," $206,928,765,544 "
Nicaragua,"6,733,763",North America,"130,375"," $12,520,915,291 "
Niger,"25,369,415",Sub-Saharan Africa,"1,267,000"," $12,928,145,120 "
Nigeria,"216,783,400",Sub-Saharan Africa,"923,768"," $448,120,428,859 "
Niue,"1,549",Oceania,260," $10,010,000 "
North Korea,"25,660,000",East Asia,"120,540"," $32,100,000,000 "
North Macedonia,"1,832,696",Europe,"25,713"," $10,220,781,069 "
Northern Mariana Islands,"47,329",East Asia,464," $1,323,000,000 "
Norway,"5,514,042",Europe,"385,207"," $403,336,363,636 "
Oman,"5,113,071",Middle East,"309,500"," $76,983,094,928 "
Pakistan,"241,499,431",South Asia,"881,913"," $304,400,000,000 "
Palau,"16,733",Oceania,466," $283,994,900 "
Palestinian National Authority,"5,483,450",Middle East,"6,220"," $4,015,865,744 "
Panama,"4,337,406",North America,"74,177"," $66,800,800,000 "
Papua New Guinea,"11,781,559",South Asia,"462,840"," $24,969,611,435 "
Paraguay,"6,109,644",South America,"406,756"," $38,145,288,940 "
Peru,"33,396,698",South America,"1,285,216"," $226,848,050,820 "
Philippines,"110,737,000",East Asia,"343,448"," $376,795,508,680 "
Pitcairn Islands,47,Oceania,47," $217,000 "
Poland,"37,691,000",Europe,"312,683"," $592,164,400,688 "
Portugal,"10,467,366",Europe,"92,225"," $237,686,075,635 "
Qatar,"2,656,032",Middle East,"11,437"," $183,466,208,791 "
Republic of Ireland,"5,281,600",Europe,"69,797"," $388,698,711,348 "
Republic of the Congo,"6,106,869",Sub-Saharan Africa,"342,000"," $10,820,591,131 "
Romania,"19,051,562",Europe,"238,397"," $250,077,444,017 "
Russia,"146,424,729",Europe,"17,075,400"," $1,699,876,578,871 "
Rwanda,"13,246,394",Sub-Saharan Africa,"26,338"," $10,122,472,590 "
Saint Barthelemy,"10,585",Carribean,24,N/A
"Saint Helena, Ascension and Tristan da Cunha","5,651",Sub-Saharan Africa,394,N/A
Saint Kitts and Nevis,"47,195",Carribean,269," $1,050,992,593 "
Saint Lucia,"178,696",Carribean,617," $2,122,450,630 "
Saint Vincent and the Grenadines,"110,872",Carribean,389," $825,385,185 "
Samoa,"205,557",Oceania,"2,842"," $850,655,017 "
San Marino,"33,881",Europe,61," $1,637,931,034 "
Sao Tome and Principe,"214,610",Sub-Saharan Africa,"1,001"," $429,016,605 "
Saudi Arabia,"32,175,224",Middle East,"2,250,000"," $792,966,838,162 "
Senegal,"18,275,743",Sub-Saharan Africa,"196,722"," $23,578,084,052 "
Serbia,"6,641,197",Europe,"88,499"," $51,409,167,351 "
Seychelles,"100,447",Sub-Saharan Africa,459," $1,698,843,063 "
Sierra Leone,"8,494,260",Sub-Saharan Africa,"71,740"," $3,941,474,311 "
Singapore,"5,917,600",South Asia,719," $372,062,527,489 "
Sint Maarten,"42,938",Carribean,34," $1,185,000,000 "
Slovakia,"5,426,352",Europe,"49,035"," $105,422,304,976 "
Slovenia,"2,117,674",Europe,"20,271"," $53,742,159,517 "
Solomon Islands,"734,887",Oceania,"28,400"," $1,425,074,226 "
Somalia,"18,143,379",Sub-Saharan Africa,"637,657"," $4,720,727,278 "
South Africa,"62,027,503",Sub-Saharan Africa,"1,221,037"," $351,431,649,241 "
South Korea,"51,439,038",East Asia,"100,295"," $2,029,000,000,000 "
South Sudan,"13,249,924",Sub-Saharan Africa,"644,329"," $11,997,800,751 "
Spain,"48,345,223",Europe,"505,990"," $1,394,116,310,769 "
Sri Lanka,"22,037,000",South Asia,"65,610"," $84,008,783,756 "
Sudan,"41,984,500",Sub-Saharan Africa,"1,886,068"," $18,902,284,476 "
Suriname,"616,500",South America,"163,270"," $3,985,250,737 "
Sweden,"10,548,336",Europe,"447,425"," $530,832,908,738 "
Switzerland,"8,902,308",Europe,"41,285"," $703,082,435,360 "
Syria,"22,923,000",Middle East,"185,180"," $40,405,006,007 "
Taiwan,"23,399,654",East Asia,"36,193"," $473,971,000,000 "
Tajikistan,"10,077,600",Central Asia,"143,100"," $8,116,626,794 "
Tanzania,"61,741,120",Sub-Saharan Africa,"947,303"," $63,177,068,175 "
Thailand,"68,263,022",South Asia,"513,120"," $543,649,976,166 "
The Bahamas,"397,360",Carribean,"13,878"," $12,827,000,000 "
The Gambia,"2,417,471",Sub-Saharan Africa,"11,300"," $1,763,819,048 "
Togo,"8,095,498",Sub-Saharan Africa,"56,785"," $5,459,979,417 "
Tokelau,"1,647",Oceania,10,N/A
Tonga,"100,179",Oceania,749," $450,353,314 "
Transnistria,"360,938",Europe,"4,163",N/A
Trinidad and Tobago,"1,365,805",South America,"5,128"," $24,100,202,834 "
Tunisia,"11,850,232",North Africa,"163,610"," $38,797,709,924 "
Turkey,"85,279,553",Middle East,"783,562"," $754,411,708,203 "
Turkmenistan,"7,057,841",Central Asia,"491,210"," $40,761,142,857 "
Turks and Caicos Islands,"46,131",Carribean,417," $1,022,312,010 "
Tuvalu,"10,679",Oceania,26," $47,271,463 "
Uganda,"42,885,900",Sub-Saharan Africa,"241,038"," $34,387,229,486 "
Ukraine,"41,130,432",Europe,"603,550"," $153,781,069,118 "
United Arab Emirates,"9,282,410",Middle East,"83,600"," $421,142,267,938 "
United Kingdom,"67,026,292",Europe,"242,495"," $2,827,113,184,696 "
United States,"335,581,000",North America,"9,826,675"," $21,427,700,000,000 "
United States Virgin Islands,"87,146",Carribean,346," $1,996,000,000 "
Uruguay,"3,566,550",South America,"176,215"," $56,045,912,952 "
Uzbekistan,"36,599,764",Central Asia,"448,978"," $57,921,286,440 "
Vanuatu,"301,295",Oceania,"12,190"," $917,058,851 "
Vatican City,764,Europe,0,N/A
Venezuela,"28,302,000",South America,"912,050"," $482,359,318,768 "
Vietnam,"100,000,000",South Asia,"331,690"," $261,921,244,843 "
Wallis and Futuna,"11,369",Oceania,274," $188,000,000 "
Yemen,"31,888,698",Middle East,"555,000"," $26,914,402,224 "
Zambia,"19,610,769",Sub-Saharan Africa,"752,618"," $23,064,722,446 "
Zimbabwe,"15,178,979",Sub-Saharan Africa,"390,757"," $21,440,758,800 "
